Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Claude Assessment of GPT,Claude Assessment Reasoning
Specific goal + feedback,Set a hard but reachable target and compare progress against it regularly.,Strong Evidence,Backup 1,"Mento et al., 1987, Organizational Behavior and Human Decision Processes","Meta-analysis (1966-1984); strong support for goal difficulty and specificity, and for specific-hard goals + feedback outperforming goals without feedback.","Classic meta-analysis directly testing the goal-plus-feedback construct, showing specific hard goals combined with feedback beat the same goals without feedback.",https://doi.org/10.1016/0749-5978(87)90045-8,https://consensus.app/papers/details/8fa6860e87975fe2b78d79fe88f0400a/?utm_source=claude_code,https://consensus.app/search/new?q=goal+setting+specific+difficult+goals+feedback+performance+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Specific goal + feedback,Set a hard but reachable target and compare progress against it regularly.,Strong Evidence,Backup 2,"Kleingeld et al., 2011, Journal of Applied Psychology","Meta-analysis, k=49; specific difficult goals yielded much higher performance than nonspecific goals (d=0.80 for specific-difficult; d=0.56 overall).","Large meta-analysis confirming the goal-specificity/difficulty effect with a large effect size, though in group-performance settings rather than personal health behavior.",https://doi.org/10.1037/a0024315,https://consensus.app/papers/details/2f77562c696353c9abcf4588f825853a/?utm_source=claude_code,https://consensus.app/search/new?q=goal+setting+specific+difficult+goals+feedback+performance+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Self-monitoring,Record the target behavior or outcome daily so patterns become visible.,Strong Evidence,Primary,"Berry et al., 2021, Obesity Reviews",Meta-analysis of 12 RCTs; digital self-monitoring of diet and activity supported weight loss (MD -2.87 kg) and increased activity (SMD 0.44).,"RCT-only meta-analysis isolating self-monitoring (recording the target behavior) and showing significant weight, activity, and intake effects directly matches the construct.",https://doi.org/10.1111/obr.13306,https://consensus.app/papers/details/4ac5d80bb67e5b7f853c064c64a8580a/?utm_source=claude_code,https://consensus.app/search/new?q=self-monitoring+behavior+change+weight+loss+intervention+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Self-monitoring,Record the target behavior or outcome daily so patterns become visible.,Strong Evidence,Backup 1,"Cavero-Redondo et al., 2020, Nutrients","Systematic review and meta-analysis, 20 studies; mHealth lifestyle self-monitoring produced moderate weight loss and higher adherence vs other methods.","Independent meta-analysis of self-monitoring interventions showing a moderate weight reduction and superior adherence, reinforcing that recording the behavior drives change.",https://doi.org/10.3390/nu12071977,https://consensus.app/papers/details/4ce3053987e9591a84bb1e011c0d8eef/?utm_source=claude_code,https://consensus.app/search/new?q=self-monitoring+behavior+change+weight+loss+intervention+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Feedback loops,"Review tracked data, identify the next bottleneck, and change one variable at a time.",Strong Evidence,Primary,"Krukowski et al., 2024, Int. Journal of Behavioral Nutrition and Physical Activity","Systematic review/meta-analysis of RCTs, 19 studies / 3,261 participants; activity interventions with feedback outperformed those without (d=0.73).","RCT meta-analysis that isolates reviewing tracked data and acting on it (feedback vs no feedback), directly supporting the feedback-loop construct with a large effect.",https://doi.org/10.1186/s12966-023-01555-6,https://consensus.app/papers/details/21e3eb2f2cf1586da9656d278c33a5c2/?utm_source=claude_code,https://consensus.app/search/new?q=feedback+intervention+behavior+change+effectiveness+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Feedback loops,"Review tracked data, identify the next bottleneck, and change one variable at a time.",Strong Evidence,Backup 1,"Wisniewski et al., 2020, Frontiers in Psychology","Meta-analysis, 435 studies / >61,000 learners; feedback had a medium effect (d=0.48) on learning, larger when it conveyed rich corrective information.","Very large meta-analysis showing acting on informative feedback drives improvement; from the education domain rather than health-habit self-tracking, so construct match is broader.",https://doi.org/10.3389/fpsyg.2019.03087,https://consensus.app/papers/details/035d70f253d75cfa8c87de437362cc32/?utm_source=claude_code,https://consensus.app/search/new?q=feedback+intervention+behavior+change+effectiveness+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"This is very strong evidence that feedback improves learning, but it is not specifically about self-help feedback loops or behavior tracking. It is broad supporting evidence, not direct evidence for the exact technique.",Partially agree,"I agree this is education-domain feedback, not health-habit self-tracking, which I already flagged as a broader match. As a backup corroborating the feedback mechanism, that breadth doesn't weaken the row."
Commitment device,"Stake money, reputation, or access so quitting has a real cost.",Strong Evidence,Primary,"Coupe et al., 2019, BMC Public Health","Systematic review/meta-analysis; 3 RCTs (N=409) found commitment devices increased short-term weight loss by 1.5 kg, sustained ~1.7 kg at 12 months.","Meta-analysis of RCTs isolating commitment devices (behavioral contracts/public stakes) shows significant weight-loss benefit, most effective when made publicly, matching the construct.",https://doi.org/10.1186/s12889-019-7185-3,https://consensus.app/papers/details/074b846914b65c8987a0ffd72ef6e266/?utm_source=claude_code,https://consensus.app/search/new?q=commitment+device+deposit+contract+behavior+change+randomized+trial&utm_source=claude_code&mode=quick,Mostly agree,"On-target, but the meta-analytic evidence is based on only three RCTs and mostly weight-loss outcomes. A Strong ranking may be a bit high unless supported by broader commitment-device evidence.",Partially agree,"I concede the base is only three RCTs and mostly weight-loss, so it's thin alone; but the construct match is exact and the tier reflects the Rogers backup plus the broader literature, with effects on-direction."
Commitment device,"Stake money, reputation, or access so quitting has a real cost.",Strong Evidence,Backup 1,"Rogers et al., 2014, JAMA","JAMA review of commitment/deposit contracts; voluntary stakes with penalties help people lose weight, improve diet, exercise more, and quit smoking.","Authoritative JAMA synthesis defining and reviewing commitment devices (staking money with consequences for failure), the exact mechanism described by the technique.",https://doi.org/10.1001/jama.2013.282747,https://consensus.app/papers/details/3081c3e6344e5010980c8ae08643ed47/?utm_source=claude_code,https://consensus.app/search/new?q=commitment+device+deposit+contract+behavior+change+randomized+trial&utm_source=claude_code&mode=quick,Mostly agree,"Good conceptual and applied backup, but this is a review rather than a direct meta-analysis of the exact self-help practice. It supports the mechanism more than it proves broad standalone effectiveness.",Partially agree,"True that Rogers is a review, not a meta-analysis of the exact self-help practice, but this backup's role is precisely to define and corroborate the mechanism, which it does authoritatively."
Stable-cue habits,Repeat one small behavior after the same cue in the same context until it becomes automatic.,Strong Evidence,Primary,"Singh et al., 2024, Healthcare","Systematic review/meta-analysis, 20 studies / 2,601 participants; context-repeated behaviors significantly increased automaticity (SMD 0.69).","Meta-analysis directly measuring habit automaticity gains from cue-consistent repetition, the precise construct of stable-cue habit formation.",https://doi.org/10.3390/healthcare12232488,https://consensus.app/papers/details/8171f2fe40645af4b21a929bd4184961/?utm_source=claude_code,https://consensus.app/search/new?q=habit+formation+automaticity+context+repetition+health+behavior&utm_source=claude_code&mode=quick,Partially agree,"This review supports habit formation generally, but not specifically the superiority of stable cues as an intervention component. The paper also notes a small evidence base and variability across behaviors, so Strong Evidence is too strong from this source alone.",Agree,"ChatGPT is right that this shows automaticity gains from repetition but not the superiority of stable cues specifically, and the small variable base argues against Strong from this source alone; I'd soften."
Stable-cue habits,Repeat one small behavior after the same cue in the same context until it becomes automatic.,Strong Evidence,Backup 1,"Lally & Gardner, 2013, Health Psychology Review","Review of habit-formation evidence and techniques; context-dependent repetition builds automaticity, making behaviors resistant to motivational lapses.","Foundational evidence-based review establishing that repeating a behavior after a consistent cue builds automaticity, the mechanism underpinning stable-cue habits.",https://doi.org/10.1080/17437199.2011.603640,https://consensus.app/papers/details/64e0d6e394645f6a9c8e2a1b2dca6f93/?utm_source=claude_code,https://consensus.app/search/new?q=habit+formation+automaticity+context+repetition+health+behavior&utm_source=claude_code&mode=quick,Mostly agree,"Good theoretical support for cue-dependent automaticity, but it is a narrative/review-level source rather than a direct RCT/meta-analysis showing that stable-cue habit design reliably changes outcomes.",Partially agree,"I agree Lally & Gardner is review-level, not an RCT/meta-analysis of outcomes, but as a backup its job is to establish the cue-automaticity mechanism, which is exactly what a foundational review provides."
Habit stacking,Attach a new behavior immediately after an existing reliable routine.,Strong Evidence,Primary,"Keller et al., 2021, British Journal of Health Psychology","RCT, N=192 over 84 days; anchoring a new behavior to an existing routine cue built automaticity as well as time-based cues (median 59 days to peak).","RCT directly testing routine-based (existing-routine) cue planning, the precise habit-stacking construct, showing it reliably builds automaticity.",https://doi.org/10.1111/bjhp.12504,https://consensus.app/papers/details/b9aaa8be51fc5b939fddb1429fbbdc66/?utm_source=claude_code,https://consensus.app/search/new?q=anchoring+new+habit+existing+routine+cue+habit+stacking+intervention&utm_source=claude_code&mode=quick,Partially agree,"This is about routine-based versus time-based cue planning for one nutrition behavior, not the broader “habit stacking” formula. It supports cue-anchored repetition, but only indirectly supports habit stacking as a self-help technique.",Partially agree,"I concede Keller tested routine- vs time-based cues for one nutrition behavior, not the full habit-stacking formula, so it's an indirect single-source match; but it directly supports the cue-anchoring core and the tier reflects the broader literature."
